kecamatan,tk_total,tk_negeri,tk_swasta,kb_total,kb_negeri,kb_swasta,tpa_total,tpa_negeri,tpa_swasta,sps_total,sps_negeri,sps_swasta,pkbm_total,pkbm_negeri,pkbm_swasta,skb_total,skb_negeri,skb_swasta,sd_total,sd_negeri,sd_swasta,smp_total,smp_negeri,smp_swasta,sma_total,sma_negeri,sma_swasta,smk_total,smk_negeri,smk_swasta,slb_total,slb_negeri,slb_swasta
Kec. Bandar Baru,15,2,13,15,0,15,0,0,0,0,0,0,1,0,1,0,0,0,28,28,0,10,8,2,4,2,2,1,1,0,0,0,0
Kec. Bandar Dua,10,4,6,21,0,21,0,0,0,0,0,0,1,0,1,0,0,0,13,13,0,5,4,1,2,2,0,2,1,1,0,0,0
Kec. Meureudu,10,4,6,11,0,11,0,0,0,0,0,0,1,0,1,0,0,0,16,13,3,3,3,0,2,2,0,1,0,1,1,1,0
Kec. Trienggadeng,7,3,4,4,0,4,1,0,1,0,0,0,1,0,1,0,0,0,13,13,0,4,3,1,1,1,0,1,1,0,1,0,1
Kec. Ulim,8,1,7,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,4,3,1,1,0,1,1,1,0,0,0,0
Kec. Meurah Dua,4,2,2,6,0,6,0,0,0,0,0,0,2,0,2,1,1,0,6,6,0,3,2,1,1,1,0,1,0,1,0,0,0
Kec. Jangka Buya,5,1,4,10,0,10,0,0,0,0,0,0,2,0,2,0,0,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0
Kec. Panteraja,9,1,8,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6,6,0,2,1,1,2,1,1,0,0,0,0,0,0
