tgl_publish,judul,link
"2019-09-27 05:19:00","MMQ Putra dan Putri Juga Lolos, Total Banda Aceh Loloskan 14 Peserta ke Final",https://infopublik.id/kategori/nusantara/376213/mmq-putra-dan-putri-juga-lolos-total-banda-aceh-loloskan-14-peserta-ke-final
"2019-09-27 05:22:00","Plt Gubernur Dukung Perayaan HUT Fakultas Ekonomi Unsyiah Ke-60",https://infopublik.id/kategori/nusantara/376208/plt-gubernur-dukung-perayaan-hut-fakultas-ekonomi-unsyiah-ke-60
"2019-09-27 05:29:00","Sekda Aceh Serahkan 230 SK Kenaikan Pangkat Guru dan Tenaga Kesehatan",https://infopublik.id/kategori/nusantara/376211/sekda-aceh-serahkan-230-sk-kenaikan-pangkat-guru-dan-tenaga-kesehatan
"2019-09-27 05:31:00","Seluruh Pegawai BPS Bakal Dengungkan #MencatatIndonesia",https://infopublik.id/kategori/nusantara/376210/seluruh-pegawai-bps-bakal-dengungkan-mencatatindonesia
"2019-09-27 05:34:00","Plt Gubernur Terima Kunjungan PPI Turki",https://infopublik.id/kategori/nusantara/376209/plt-gubernur-terima-kunjungan-ppi-turki
"2019-09-27 05:37:00","Pemerintah Aceh Dukung Eksplorasi Migas di Blok Andaman II",https://infopublik.id/kategori/nusantara/376207/pemerintah-aceh-dukung-eksplorasi-migas-di-blok-andaman-ii
"2019-09-29 04:53:00","Aminullah: Alumni FEB Unsyiah Luncurkan Lembaga Wakaf",https://infopublik.id/kategori/nusantara/376573/aminullah-alumni-feb-unsyiah-luncurkan-lembaga-wakaf
"2019-09-29 04:58:00","Plt Gubernur Ajak Alumni Fakultas Ekonomi Unsyiah Kolaborasi Bangun Aceh",https://infopublik.id/kategori/nusantara/376569/plt-gubernur-ajak-alumni-fakultas-ekonomi-unsyiah-kolaborasi-bangun-aceh
"2019-09-29 05:06:00","Sekda Aceh: Pemimpin harus Solutif dan Mengayomi",https://infopublik.id/kategori/nusantara/376570/sekda-aceh-pemimpin-harus-solutif-dan-mengayomi
"2019-09-29 05:10:00","Aminullah Puji Permainan Persiraja Kandaskan Sriwijaya",https://infopublik.id/kategori/nusantara/376571/aminullah-puji-permainan-persiraja-kandaskan-sriwijaya
"2019-09-29 05:13:00","Wali Kota Banda Aceh Ajak Pelajar Tingkatkan Minat Baca",https://infopublik.id/kategori/nusantara/376572/wali-kota-banda-aceh-ajak-pelajar-tingkatkan-minat-baca
"2019-09-29 05:25:00","Sekda Aceh Larang Guru Kutip Uang dari Siswa",https://infopublik.id/kategori/nusantara/376567/sekda-aceh-larang-guru-kutip-uang-dari-siswa
"2019-09-29 07:27:00","Plt Gubernur: Investasi Mampu Dongkrak Perekonomian Aceh",https://infopublik.id/kategori/nusantara/376565/plt-gubernur-investasi-mampu-dongkrak-perekonomian-aceh
